Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Projects Count
"SQL, Java, React, C++",5,M.Tech,Deep Learning Specialization,Software Engineer,1,7
"React, SQL, C++",6,M.Tech,Google ML,Software Engineer,1,10
"Machine Learning, Python, Deep Learning, SQL",8,B.Sc,AWS Certified,Data Scientist,1,0
"Networking, Ethical Hacking",2,PhD,AWS Certified,Cybersecurity Analyst,1,7
"Python, TensorFlow, Pytorch, NLP",3,PhD,,AI Researcher,1,8
"Linux, Cybersecurity",0,MBA,Google ML,Cybersecurity Analyst,0,8
"Java, C++",3,PhD,Deep Learning Specialization,Software Engineer,1,7
"React, Java",5,MBA,,Software Engineer,1,7
"TensorFlow, NLP",2,MBA,,AI Researcher,1,10
"SQL, Java, C++, React",6,B.Sc,Deep Learning Specialization,Software Engineer,1,8
"Linux, Cybersecurity, Ethical Hacking",7,B.Tech,,Cybersecurity Analyst,1,8
"Pytorch, TensorFlow, Python, NLP",4,B.Sc,Google ML,AI Researcher,1,5
"Python, TensorFlow",3,B.Sc,AWS Certified,AI Researcher,1,3
"C++, Java",4,MBA,Deep Learning Specialization,Software Engineer,1,2
"NLP, Python, TensorFlow",7,MBA,AWS Certified,AI Researcher,1,10
"Cybersecurity, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,3
"Ethical Hacking, Linux, Networking, Cybersecurity",6,B.Sc,Google ML,Cybersecurity Analyst,1,5
"Cybersecurity, Ethical Hacking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,7
"Cybersecurity, Linux, Ethical Hacking, Networking",3,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,8
"Machine Learning, Python, Deep Learning",2,M.Tech,Google ML,Data Scientist,0,2
"Linux, Ethical Hacking",4,B.Tech,,Cybersecurity Analyst,1,7
"Cybersecurity, Networking, Linux",8,M.Tech,Google ML,Cybersecurity Analyst,1,4
"Java, SQL",2,M.Tech,AWS Certified,Software Engineer,1,10
"Networking, Cybersecurity, Ethical Hacking, Linux",4,B.Tech,,Cybersecurity Analyst,1,2
"React, SQL",8,B.Sc,Deep Learning Specialization,Software Engineer,1,8
"SQL, Java, C++",9,B.Tech,AWS Certified,Software Engineer,1,6
"Pytorch, TensorFlow",9,B.Sc,Google ML,AI Researcher,1,7
"Networking, Cybersecurity, Ethical Hacking, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,6
"Pytorch, TensorFlow, NLP",4,M.Tech,Google ML,AI Researcher,1,10
"Java, SQL, React",3,MBA,AWS Certified,Software Engineer,1,8
"Machine Learning, Python, SQL",2,PhD,AWS Certified,Data Scientist,1,5
"NLP, TensorFlow",2,B.Sc,AWS Certified,AI Researcher,1,10
"Networking, Cybersecurity",3,PhD,,Cybersecurity Analyst,0,4
"Python, TensorFlow, NLP, Pytorch",4,B.Sc,,AI Researcher,1,6
"C++, SQL, Java",6,PhD,AWS Certified,Software Engineer,1,8
"Python, TensorFlow",0,MBA,Google ML,AI Researcher,0,1
"NLP, TensorFlow, Python, Pytorch",1,MBA,Google ML,AI Researcher,0,2
"C++, SQL, Java",0,M.Tech,AWS Certified,Software Engineer,0,0
"Python, TensorFlow",6,B.Sc,Google ML,AI Researcher,1,2
"C++, SQL, React, Java",8,PhD,Deep Learning Specialization,Software Engineer,1,5
"Networking, Ethical Hacking, Linux, Cybersecurity",4,PhD,,Cybersecurity Analyst,1,2
"SQL, Machine Learning",4,MBA,Google ML,Data Scientist,1,5
"Pytorch, TensorFlow, Python, NLP",4,M.Tech,Google ML,AI Researcher,1,3
"SQL, Deep Learning",4,PhD,,Data Scientist,1,8
"Cybersecurity, Networking",3,PhD,,Cybersecurity Analyst,1,9
"Python, Machine Learning",8,B.Tech,AWS Certified,Data Scientist,1,2
"Ethical Hacking, Cybersecurity",9,MBA,,Cybersecurity Analyst,1,6
"C++, Java, SQL, React",2,M.Tech,AWS Certified,Software Engineer,0,0
"Python, Deep Learning, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,1,9
"Machine Learning, Python, SQL",10,B.Sc,,Data Scientist,1,5
"SQL, Machine Learning, Deep Learning",3,PhD,,Data Scientist,0,2
"Pytorch, Python, NLP",2,B.Tech,,AI Researcher,0,4
"React, C++",7,M.Tech,AWS Certified,Software Engineer,1,10
"Linux, Networking, Cybersecurity",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,0,1
"Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,0,2
"SQL, Machine Learning, Deep Learning, Python",5,PhD,AWS Certified,Data Scientist,1,10
"C++, Java, React",5,MBA,AWS Certified,Software Engineer,1,10
"Networking, Ethical Hacking",1,PhD,Google ML,Cybersecurity Analyst,1,8
"React, Java, C++",5,B.Tech,Google ML,Software Engineer,1,0
"Ethical Hacking, Linux, Networking",3,M.Tech,,Cybersecurity Analyst,0,3
"Cybersecurity, Ethical Hacking",6,MBA,AWS Certified,Cybersecurity Analyst,1,8
"Ethical Hacking, Linux, Networking",5,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,5
"Deep Learning, SQL, Machine Learning",6,PhD,,Data Scientist,1,2
"Pytorch, Python, TensorFlow",5,MBA,AWS Certified,AI Researcher,1,6
"TensorFlow, Pytorch, Python, NLP",7,B.Sc,AWS Certified,AI Researcher,1,4
"React, SQL, C++, Java",0,B.Sc,Google ML,Software Engineer,0,2
"Deep Learning, SQL, Python, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,1,1
"Pytorch, NLP, TensorFlow",7,B.Sc,Deep Learning Specialization,AI Researcher,1,2
"Java, C++, React",0,PhD,Deep Learning Specialization,Software Engineer,0,2
"NLP, TensorFlow",6,B.Tech,Google ML,AI Researcher,1,10
"NLP, Pytorch, Python",2,B.Sc,AWS Certified,AI Researcher,1,10
"NLP, Pytorch, TensorFlow",2,PhD,Deep Learning Specialization,AI Researcher,0,3
"C++, React, Java, SQL",1,M.Tech,,Software Engineer,0,3
"Cybersecurity, Networking, Linux",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,1,2
"Deep Learning, Python, SQL",4,B.Tech,,Data Scientist,1,3
"React, C++, SQL, Java",9,PhD,Deep Learning Specialization,Software Engineer,1,9
"Machine Learning, Python, Deep Learning",0,B.Tech,Deep Learning Specialization,Data Scientist,0,1
"Python, Pytorch, TensorFlow",9,MBA,AWS Certified,AI Researcher,1,1
"C++, Java",5,B.Tech,Deep Learning Specialization,Software Engineer,1,0
"Python, Pytorch, TensorFlow, NLP",6,PhD,Deep Learning Specialization,AI Researcher,1,4
"Pytorch, Python, TensorFlow",0,B.Tech,,AI Researcher,0,4
"NLP, TensorFlow, Pytorch, Python",6,B.Tech,Google ML,AI Researcher,1,0
"Deep Learning, SQL",1,MBA,Google ML,Data Scientist,0,6
"Ethical Hacking, Linux, Cybersecurity, Networking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,1,10
"Machine Learning, Deep Learning, SQL",6,M.Tech,,Data Scientist,1,7
"SQL, Java, React",2,B.Tech,,Software Engineer,0,4
"SQL, Deep Learning",6,B.Tech,Deep Learning Specialization,Data Scientist,1,1
"SQL, Deep Learning, Python",0,B.Tech,Google ML,Data Scientist,0,5
"Python, TensorFlow, NLP",1,MBA,AWS Certified,AI Researcher,1,8
"Ethical Hacking, Cybersecurity",0,MBA,AWS Certified,Cybersecurity Analyst,0,4
"React, SQL, Java, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,1,4
"Python, Deep Learning, SQL, Machine Learning",9,MBA,,Data Scientist,1,0
"SQL, Python",8,MBA,AWS Certified,Data Scientist,1,6
"Networking, Linux, Cybersecurity, Ethical Hacking",6,PhD,Google ML,Cybersecurity Analyst,1,8
"TensorFlow, Pytorch, Python",9,PhD,Google ML,AI Researcher,1,2
"SQL, Machine Learning",1,PhD,Deep Learning Specialization,Data Scientist,0,4
"Python, Pytorch, TensorFlow",0,MBA,Deep Learning Specialization,AI Researcher,0,6
"Machine Learning, Deep Learning, Python, SQL",4,B.Sc,,Data Scientist,1,8
"TensorFlow, Python, Pytorch, NLP",2,PhD,Deep Learning Specialization,AI Researcher,1,3
"Python, SQL, Deep Learning, Machine Learning",10,M.Tech,Deep Learning Specialization,Data Scientist,1,8
"SQL, C++, Java",6,B.Sc,,Software Engineer,1,4
"Deep Learning, Machine Learning, Python",10,B.Tech,,Data Scientist,1,4
"Java, React, C++",10,M.Tech,,Software Engineer,1,5
"Python, NLP, Pytorch, TensorFlow",6,PhD,Deep Learning Specialization,AI Researcher,1,3
"Python, SQL",0,B.Tech,Google ML,Data Scientist,1,10
"SQL, C++",7,M.Tech,Deep Learning Specialization,Software Engineer,1,5
"Ethical Hacking, Cybersecurity",5,PhD,Google ML,Cybersecurity Analyst,1,5
"Linux, Ethical Hacking",5,B.Tech,AWS Certified,Cybersecurity Analyst,1,7
"Python, Pytorch, TensorFlow, NLP",9,M.Tech,,AI Researcher,1,9
"Python, Deep Learning",9,B.Tech,AWS Certified,Data Scientist,1,1
"Networking, Linux, Ethical Hacking, Cybersecurity",7,PhD,,Cybersecurity Analyst,1,7
"TensorFlow, NLP",3,B.Tech,Google ML,AI Researcher,1,10
"Linux, Cybersecurity",9,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,1,7
"Java, C++, SQL",10,MBA,,Software Engineer,1,1
"Deep Learning, Machine Learning, SQL, Python",1,PhD,,Data Scientist,1,8
"SQL, Deep Learning, Python, Machine Learning",6,MBA,Google ML,Data Scientist,1,8
"SQL, Deep Learning, Python, Machine Learning",7,M.Tech,,Data Scientist,1,7
"TensorFlow, Python, NLP, Pytorch",10,B.Sc,Deep Learning Specialization,AI Researcher,1,2
"React, Java, C++, SQL",3,PhD,Google ML,Software Engineer,1,2
"Networking, Cybersecurity, Ethical Hacking",7,PhD,,Cybersecurity Analyst,1,0
"Ethical Hacking, Networking, Cybersecurity",1,M.Tech,,Cybersecurity Analyst,1,9
"SQL, Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,1,8
"Machine Learning, SQL, Python, Deep Learning",7,B.Tech,Google ML,Data Scientist,1,0
"TensorFlow, NLP, Pytorch, Python",8,M.Tech,Google ML,AI Researcher,1,6
"Networking, Ethical Hacking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,1,7
"Deep Learning, Python, SQL, Machine Learning",8,MBA,,Data Scientist,1,5
"SQL, C++",1,B.Tech,AWS Certified,Software Engineer,1,10
"SQL, C++, Java, React",4,MBA,,Software Engineer,1,3
"TensorFlow, Python, NLP, Pytorch",9,M.Tech,Google ML,AI Researcher,1,9
"Python, Deep Learning, Machine Learning, SQL",8,B.Tech,,Data Scientist,1,2
"Python, Machine Learning, Deep Learning",9,M.Tech,AWS Certified,Data Scientist,1,1
"SQL, Machine Learning, Python, Deep Learning",6,B.Tech,Deep Learning Specialization,Data Scientist,1,4
"Linux, Ethical Hacking",8,MBA,AWS Certified,Cybersecurity Analyst,1,9
"Deep Learning, SQL, Machine Learning, Python",3,B.Sc,AWS Certified,Data Scientist,1,9
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,0,0
"SQL, Python, Machine Learning, Deep Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,1,7
"TensorFlow, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,1,10
"Ethical Hacking, Networking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,4
"Linux, Cybersecurity, Ethical Hacking",8,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,9
"Java, React, SQL",4,PhD,Deep Learning Specialization,Software Engineer,1,7
"TensorFlow, NLP, Pytorch, Python",1,PhD,AWS Certified,AI Researcher,0,3
"SQL, Machine Learning, Python, Deep Learning",4,B.Sc,Deep Learning Specialization,Data Scientist,1,3
"Networking, Linux, Ethical Hacking",4,PhD,,Cybersecurity Analyst,1,2
"Cybersecurity, Ethical Hacking, Linux, Networking",1,B.Sc,Google ML,Cybersecurity Analyst,0,2
"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Tech,,Cybersecurity Analyst,0,2
"SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,1,8
"Java, C++, React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,1,10
"Java, C++, React, SQL",6,B.Tech,Deep Learning Specialization,Software Engineer,1,4
"Linux, Cybersecurity, Ethical Hacking",4,MBA,AWS Certified,Cybersecurity Analyst,1,1
"TensorFlow, Python",9,PhD,AWS Certified,AI Researcher,1,1
"React, SQL",8,M.Tech,AWS Certified,Software Engineer,1,6
"TensorFlow, NLP, Python",10,M.Tech,Google ML,AI Researcher,1,9
"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,,Cybersecurity Analyst,1,7
"Pytorch, NLP, Python, TensorFlow",1,MBA,,AI Researcher,1,9
"React, C++, Java, SQL",6,B.Tech,Google ML,Software Engineer,1,6
"Pytorch, Python",4,M.Tech,AWS Certified,AI Researcher,1,1
"Python, SQL, Machine Learning",3,MBA,Deep Learning Specialization,Data Scientist,1,2
"Ethical Hacking, Cybersecurity, Networking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,1,9
"Java, SQL, C++",8,PhD,,Software Engineer,1,3
"Deep Learning, Python",9,B.Tech,Google ML,Data Scientist,1,8
"React, C++",7,PhD,,Software Engineer,1,10
"Ethical Hacking, Networking, Cybersecurity, Linux",8,B.Sc,,Cybersecurity Analyst,1,1
"Machine Learning, Python, SQL",2,MBA,Deep Learning Specialization,Data Scientist,1,4
"Cybersecurity, Networking, Linux, Ethical Hacking",10,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,9
"Python, Pytorch",5,MBA,AWS Certified,AI Researcher,1,7
"Python, SQL, Deep Learning",3,MBA,AWS Certified,Data Scientist,1,10
"Ethical Hacking, Linux",2,MBA,,Cybersecurity Analyst,1,7
"Deep Learning, Machine Learning, SQL",10,B.Tech,,Data Scientist,1,7
"React, SQL, C++, Java",8,B.Sc,,Software Engineer,1,10
"Deep Learning, Machine Learning",4,B.Tech,Google ML,Data Scientist,1,2
"Python, SQL, Deep Learning",2,PhD,AWS Certified,Data Scientist,1,8
"SQL, Java, React",1,M.Tech,AWS Certified,Software Engineer,0,3
"Machine Learning, Python, SQL",2,B.Tech,,Data Scientist,0,4
"Ethical Hacking, Linux, Networking",7,B.Sc,,Cybersecurity Analyst,1,10
"Python, Pytorch, NLP, TensorFlow",1,B.Sc,Google ML,AI Researcher,0,2
"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,AWS Certified,Cybersecurity Analyst,1,5
"Python, Pytorch, TensorFlow, NLP",9,M.Tech,,AI Researcher,1,5
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,1,4
"Machine Learning, Python, SQL, Deep Learning",6,M.Tech,AWS Certified,Data Scientist,1,2
"SQL, Deep Learning, Python",5,MBA,Deep Learning Specialization,Data Scientist,1,5
"Networking, Cybersecurity, Linux",9,B.Tech,Google ML,Cybersecurity Analyst,1,0
"Machine Learning, SQL, Deep Learning",10,PhD,,Data Scientist,1,0
"Linux, Ethical Hacking, Networking",4,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,9
"Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,1,10
"TensorFlow, Pytorch, Python, NLP",6,PhD,AWS Certified,AI Researcher,1,8
"Linux, Networking, Cybersecurity",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,6
"SQL, Python, Machine Learning, Deep Learning",3,B.Sc,,Data Scientist,1,8
"Networking, Cybersecurity, Ethical Hacking",8,B.Tech,,Cybersecurity Analyst,1,4
"TensorFlow, Python, NLP",6,PhD,Deep Learning Specialization,AI Researcher,1,2
"Python, SQL, Machine Learning",10,MBA,Google ML,Data Scientist,1,2
"Pytorch, Python, TensorFlow, NLP",5,MBA,Google ML,AI Researcher,1,5
"Java, React, SQL, C++",6,M.Tech,Google ML,Software Engineer,1,5
"TensorFlow, NLP, Pytorch",6,PhD,AWS Certified,AI Researcher,1,9
"SQL, Machine Learning, Python",3,PhD,Google ML,Data Scientist,1,10
"Java, C++, React, SQL",8,PhD,Google ML,Software Engineer,1,0
"Linux, Cybersecurity",8,MBA,AWS Certified,Cybersecurity Analyst,1,7
"Machine Learning, Python, Deep Learning, SQL",9,B.Tech,Google ML,Data Scientist,1,5
"C++, React, SQL, Java",5,B.Sc,AWS Certified,Software Engineer,1,10
"Python, SQL, Machine Learning, Deep Learning",4,B.Tech,AWS Certified,Data Scientist,1,5
"Machine Learning, Deep Learning, Python",3,PhD,,Data Scientist,1,10
"TensorFlow, NLP, Python",0,M.Tech,AWS Certified,AI Researcher,0,2
"Deep Learning, Machine Learning, SQL, Python",2,PhD,,Data Scientist,0,1
"Cybersecurity, Ethical Hacking, Networking, Linux",6,PhD,Google ML,Cybersecurity Analyst,1,1
"React, SQL",9,B.Tech,AWS Certified,Software Engineer,1,6
"Java, C++",8,M.Tech,AWS Certified,Software Engineer,1,0
"Pytorch, TensorFlow, Python, NLP",4,B.Tech,,AI Researcher,1,5
"SQL, Machine Learning",9,PhD,AWS Certified,Data Scientist,1,3
"TensorFlow, Pytorch, NLP, Python",4,B.Sc,AWS Certified,AI Researcher,1,10
"Machine Learning, Deep Learning",9,PhD,,Data Scientist,1,8
"Machine Learning, Deep Learning, SQL",3,PhD,AWS Certified,Data Scientist,1,7
"Ethical Hacking, Cybersecurity, Linux",1,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,0,2
"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,1,5
"Python, Machine Learning, Deep Learning, SQL",7,M.Tech,Google ML,Data Scientist,1,5
"Cybersecurity, Networking",7,M.Tech,Google ML,Cybersecurity Analyst,1,4
"Pytorch, TensorFlow, Python",8,M.Tech,,AI Researcher,1,5
"Ethical Hacking, Networking",6,PhD,Google ML,Cybersecurity Analyst,1,5
"SQL, Java, React, C++",0,MBA,,Software Engineer,0,4
"SQL, Java, C++",3,M.Tech,,Software Engineer,1,6
"NLP, TensorFlow, Python, Pytorch",6,MBA,AWS Certified,AI Researcher,1,0
"React, SQL, Java, C++",2,M.Tech,Deep Learning Specialization,Software Engineer,1,3
"TensorFlow, NLP, Python, Pytorch",8,M.Tech,Google ML,AI Researcher,1,7
"Java, SQL",2,MBA,,Software Engineer,1,9
"Networking, Cybersecurity, Linux",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,1,6
"Networking, Ethical Hacking, Cybersecurity, Linux",2,MBA,,Cybersecurity Analyst,0,0
"Pytorch, NLP, Python, TensorFlow",7,M.Tech,AWS Certified,AI Researcher,1,10
"Deep Learning, Machine Learning, SQL, Python",6,PhD,Deep Learning Specialization,Data Scientist,1,10
"Pytorch, Python",9,PhD,Deep Learning Specialization,AI Researcher,1,7
"Deep Learning, Machine Learning",4,PhD,AWS Certified,Data Scientist,0,0
"Linux, Ethical Hacking",10,MBA,Google ML,Cybersecurity Analyst,1,9
"Python, TensorFlow, NLP",6,B.Tech,,AI Researcher,1,5
"Python, Deep Learning, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,0,6
"Python, TensorFlow",5,B.Tech,Google ML,AI Researcher,1,0
"Networking, Linux, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,1,6
"Machine Learning, Deep Learning",6,PhD,AWS Certified,Data Scientist,1,0
"NLP, Pytorch, TensorFlow",6,M.Tech,Deep Learning Specialization,AI Researcher,1,0
"Pytorch, Python, NLP",10,M.Tech,,AI Researcher,1,3
"Deep Learning, SQL, Machine Learning",3,B.Tech,,Data Scientist,0,3
"Linux, Networking, Cybersecurity, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,1,9
"SQL, Python",7,PhD,,Data Scientist,1,1
"TensorFlow, Python, NLP, Pytorch",0,M.Tech,,AI Researcher,0,4
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,,Data Scientist,1,1
"Deep Learning, Python",5,MBA,AWS Certified,Data Scientist,1,3
"Cybersecurity, Networking, Ethical Hacking",4,MBA,,Cybersecurity Analyst,1,9
"Java, SQL, React, C++",9,B.Sc,Google ML,Software Engineer,1,9
"Ethical Hacking, Networking",6,PhD,AWS Certified,Cybersecurity Analyst,1,2
"TensorFlow, Python",7,B.Sc,Deep Learning Specialization,AI Researcher,1,1
"Python, Machine Learning, Deep Learning, SQL",1,PhD,Google ML,Data Scientist,1,6
"Cybersecurity, Networking, Ethical Hacking",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,1,2
"C++, React, SQL, Java",5,PhD,Deep Learning Specialization,Software Engineer,1,5
"Machine Learning, SQL",5,B.Sc,Deep Learning Specialization,Data Scientist,1,7
"C++, SQL, Java, React",7,B.Sc,,Software Engineer,1,10
"SQL, C++, Java",1,M.Tech,,Software Engineer,0,5
"Pytorch, TensorFlow, NLP, Python",1,M.Tech,,AI Researcher,0,0
"Python, Machine Learning",2,B.Sc,Deep Learning Specialization,Data Scientist,0,1
"Linux, Cybersecurity",9,B.Sc,,Cybersecurity Analyst,1,7
"SQL, Java, C++",1,M.Tech,Deep Learning Specialization,Software Engineer,1,10
"Machine Learning, Deep Learning, Python",10,M.Tech,Google ML,Data Scientist,1,10
"Python, SQL, Machine Learning",3,PhD,Google ML,Data Scientist,0,1
"Machine Learning, SQL",2,MBA,Deep Learning Specialization,Data Scientist,1,7
"Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,1,8
"Pytorch, TensorFlow",5,PhD,AWS Certified,AI Researcher,1,4
"SQL, C++, Java, React",3,M.Tech,Google ML,Software Engineer,0,0
"Networking, Linux, Cybersecurity",1,PhD,Google ML,Cybersecurity Analyst,1,8
"Linux, Cybersecurity, Networking, Ethical Hacking",6,B.Tech,AWS Certified,Cybersecurity Analyst,1,6
"NLP, TensorFlow, Python",2,MBA,,AI Researcher,0,2
"Machine Learning, Deep Learning, SQL, Python",2,PhD,AWS Certified,Data Scientist,1,6
"Java, React, SQL, C++",3,PhD,,Software Engineer,1,4
"Ethical Hacking, Cybersecurity, Networking",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,0,1
"SQL, Java, React",4,PhD,AWS Certified,Software Engineer,1,5
"Cybersecurity, Networking, Linux, Ethical Hacking",1,B.Sc,,Cybersecurity Analyst,1,8
"Python, Deep Learning, Machine Learning, SQL",2,B.Tech,Deep Learning Specialization,Data Scientist,1,3
"Pytorch, TensorFlow, NLP, Python",10,B.Sc,Google ML,AI Researcher,1,3
"Linux, Ethical Hacking, Networking",5,B.Sc,AWS Certified,Cybersecurity Analyst,1,0
"Deep Learning, Machine Learning",7,M.Tech,AWS Certified,Data Scientist,1,9
"NLP, Pytorch, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,1,9
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Deep Learning Specialization,Data Scientist,1,5
"Networking, Cybersecurity, Ethical Hacking, Linux",4,M.Tech,Google ML,Cybersecurity Analyst,1,8
"SQL, Python, Machine Learning, Deep Learning",7,B.Sc,AWS Certified,Data Scientist,1,2
"Deep Learning, Python, SQL, Machine Learning",3,B.Sc,AWS Certified,Data Scientist,1,5
"Ethical Hacking, Linux, Networking, Cybersecurity",6,MBA,,Cybersecurity Analyst,1,4
"Cybersecurity, Networking",7,MBA,,Cybersecurity Analyst,1,6
"C++, SQL, Java",7,B.Sc,,Software Engineer,1,5
"Machine Learning, SQL, Python",3,M.Tech,Google ML,Data Scientist,1,9
"SQL, Machine Learning, Python",3,B.Tech,Google ML,Data Scientist,1,3
"SQL, Deep Learning, Python",9,B.Sc,Google ML,Data Scientist,1,0
"Python, NLP, Pytorch, TensorFlow",5,B.Sc,Deep Learning Specialization,AI Researcher,1,9
"TensorFlow, NLP",6,PhD,AWS Certified,AI Researcher,1,8
"Cybersecurity, Linux, Ethical Hacking",2,PhD,,Cybersecurity Analyst,1,10
"SQL, Machine Learning, Deep Learning",8,M.Tech,,Data Scientist,1,8
"Ethical Hacking, Linux, Networking, Cybersecurity",6,MBA,,Cybersecurity Analyst,1,1
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,AWS Certified,Data Scientist,1,0
"Pytorch, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,1,9
"Python, Machine Learning, SQL",9,PhD,Google ML,Data Scientist,1,10
"C++, React, SQL",0,MBA,,Software Engineer,0,7
"C++, SQL",8,B.Sc,Google ML,Software Engineer,1,8
"NLP, Python, Pytorch, TensorFlow",3,MBA,AWS Certified,AI Researcher,1,6
"C++, Java, SQL",6,MBA,AWS Certified,Software Engineer,1,1
"TensorFlow, Pytorch, NLP, Python",1,B.Tech,AWS Certified,AI Researcher,0,2
"Cybersecurity, Linux, Ethical Hacking, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,1,8
"Python, NLP",3,B.Sc,,AI Researcher,1,7
"React, C++, SQL, Java",7,M.Tech,Google ML,Software Engineer,1,10
"SQL, Deep Learning, Machine Learning",9,B.Sc,Google ML,Data Scientist,1,0
"TensorFlow, NLP, Python",9,MBA,Google ML,AI Researcher,1,7
"Python, SQL, Machine Learning",3,B.Tech,AWS Certified,Data Scientist,1,4
"NLP, Python",10,PhD,Google ML,AI Researcher,1,10
"SQL, C++, Java",6,MBA,,Software Engineer,1,1
"Pytorch, NLP, Python, TensorFlow",1,M.Tech,Google ML,AI Researcher,1,7
"SQL, Deep Learning",0,PhD,Deep Learning Specialization,Data Scientist,0,8
"React, SQL, Java",10,B.Sc,Deep Learning Specialization,Software Engineer,1,3
"SQL, Deep Learning, Machine Learning",1,MBA,,Data Scientist,1,8
"Pytorch, TensorFlow, NLP",2,M.Tech,Google ML,AI Researcher,1,4
"Python, NLP",5,B.Sc,Google ML,AI Researcher,1,8
"Networking, Cybersecurity, Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,1,9
"React, C++, Java, SQL",5,M.Tech,Google ML,Software Engineer,1,4
"Networking, Ethical Hacking, Linux, Cybersecurity",3,PhD,Google ML,Cybersecurity Analyst,1,9
"React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,1,10
"Cybersecurity, Ethical Hacking, Linux, Networking",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,0,0
"React, Java",4,PhD,Google ML,Software Engineer,1,6
"Cybersecurity, Linux, Ethical Hacking",0,B.Sc,,Cybersecurity Analyst,0,9
"Deep Learning, Machine Learning",0,MBA,Deep Learning Specialization,Data Scientist,0,5
"TensorFlow, NLP",0,B.Tech,Google ML,AI Researcher,1,9
"Linux, Networking, Cybersecurity, Ethical Hacking",8,PhD,AWS Certified,Cybersecurity Analyst,1,10
"SQL, Machine Learning, Python, Deep Learning",7,M.Tech,Deep Learning Specialization,Data Scientist,1,3
